"ID","genotype","somites","stage","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"April14_unicorn_het_1","HET",13,"E10.5",-17541.8644452491,-6627.82460142071,41334.6500597406,11250.4867756528,-15606.9831595981,35909.0424467518,-398.27300460685,10482.2902917576,-14155.7046672442,9543.31574864597
"April14_unicorn_het_12_flipped","HET",6,"E10",21499.5430150079,34207.4508548357,-625.608370000068,-11975.439271758,1520.08324219245,7871.85509772512,-1878.48293039094,-34796.8281524349,-16896.8610237224,-6289.15193813556
"April14_unicorn_het_5_2","HET",10,"E10.25",-16152.8977853489,38254.5972197224,15019.8637945394,15909.4546585582,-38184.9925172552,-27270.7885180812,2734.65364493408,-1392.88378175369,10218.1854413085,7510.19819309933
"April14_unicorn_het_7","HET",13,"E10.5",-60290.1103094555,16187.8759788624,-3207.41653166155,3036.62665247788,2173.91421726686,624.875099162956,4419.81683135183,-5171.3060486098,-402.884366221523,-146.144617183751
"April14_unicorn_het_9_flipped","HET",14,"E10.5",-62965.4258433327,7249.20146961553,-2976.44586073107,-2944.56854127625,5815.415774004,11701.6239894694,-6375.77552986637,9185.04590015433,12251.5966385308,-33587.8594892032
"April14_unicorn_mut_13_flipped","MUT",7,"E10",52269.0293788489,-49657.0186031396,-7844.40490839296,25843.677199426,-9305.73282132277,-6918.89736806168,-34515.3770144315,93.9731585458157,-7262.19365901255,-9855.26534737022
"April14_unicorn_mut_17_fused","MUT",5,"E10",46359.766113115,7253.89990174716,-7222.07246594426,6658.94472963018,6963.69846575074,21424.7722198325,-1042.86134950433,-15720.335366783,35817.332033478,11051.3477957933
"April14_unicorn_mut_2_Fused","MUT",11,"E10.5",-51045.2637845493,18177.0346768837,3308.46423873993,6120.98583262283,32954.467954258,-15139.7200698925,-23368.4076007033,2761.79400124517,-2301.22552636335,20243.9954148473
"April14_unicorn_mut_3","MUT",13,"E10.5",31214.3322719984,-36115.2092050526,47608.7421135474,4801.55344462634,21328.5139837316,-19832.7174445944,21934.3828530457,-2465.01526485507,4930.70472738349,-10610.5904838024
"April14_unicorn_wt_10_Fused","WT",5,"E10",21775.5629819147,19841.7346754162,-39318.749661766,43191.4341090015,8139.00324795737,2233.74336430153,24373.216856526,12716.3071911578,-10913.1794556234,-1440.84576356797
"April14_unicorn_wt_11_Fused_flipped","WT",6,"E10",50769.9594030975,19395.0912076417,-2648.67429353648,-33379.5951437314,1021.70330021204,1462.83805952833,-3376.24855351341,31768.1615699041,5410.32098608525,5689.42594541506
"April14_unicorn_wt_16_flipped","WT",5,"E10",37155.3608844028,36832.6044220685,-3289.22153485207,-29601.0177033369,-1139.64249558085,-7806.87664019189,-382.3560718266,533.023270625836,-13676.1913975311,-7768.81057832178
"April14_unicorn_wt_4_Fused","WT",12,"E10.5",-34080.1161559623,-48710.9982603684,-25113.5078815371,-21732.5453299957,-17852.8028104203,-6329.29582828445,5859.40662473109,-3748.33400707124,7364.97998529501,276.709643821588
"April14_unicorn_wt_8_Fused","WT",14,"E10.5",-18967.8757244817,-56288.4397368087,-15025.6186981427,-17179.9974118991,2173.3536188057,2069.54559233389,12016.3052442573,-4245.89276188378,-10384.8797163637,15383.6754759637
